Sample | Search | Binary          | Classic
--------------------------------------
1      | 0      | 0.00018         | 0.00009
2      | 942    | 0.00189         | 0.02077
3      | 2138   | 0.00211         | 0.04150
4      | 4279   | 0.00204         | 0.08207
5      | 7354   | 0.00198         | 0.14553
6      | 7338   | 0.00229         | 0.14081
7      | 6570   | 0.00222         | 0.12843
8      | 1295   | 0.00232         | 0.03234
9      | 13384  | 0.00239         | 0.26673
10     | 14349  | 0.00247         | 0.28113
11     | 6611   | 0.00222         | 0.13398
12     | 9663   | 0.00226         | 0.18776
13     | 9150   | 0.00193         | 0.17814
14     | 13754  | 0.00247         | 0.29738
15     | 18902  | 0.00231         | 0.38532
16     | 18156  | 0.00308         | 0.36680
17     | 9250   | 0.00239         | 0.19259
18     | 27011  | 0.00254         | 0.54242
19     | 12026  | 0.00260         | 0.23119
20     | 25112  | 0.00256         | 0.49053
21     | 14700  | 0.00226         | 0.28825
22     | 239    | 0.00213         | 0.00488
23     | 15073  | 0.00252         | 0.29343
24     | 8971   | 0.00208         | 0.17693
25     | 23606  | 0.00227         | 0.46479
26     | 18522  | 0.00227         | 0.36439
27     | 31078  | 0.00261         | 0.59947
28     | 34247  | 0.00276         | 0.65931
29     | 21397  | 0.00247         | 0.42614
30     | 13614  | 0.00260         | 0.27038
31     | 7518   | 0.00277         | 0.15056
32     | 30347  | 0.00215         | 0.75809
33     | 50561  | 0.00186         | 0.97402
34     | 29192  | 0.00276         | 0.56194
35     | 34607  | 0.00275         | 0.66053
36     | 67215  | 0.00260         | 1.27620
37     | 43758  | 0.00291         | 0.83828
38     | 8151   | 0.00274         | 0.15610
39     | 16288  | 0.00288         | 0.31081
40     | 25559  | 0.00260         | 0.49028
41     | 18408  | 0.00279         | 0.35873
42     | 55953  | 0.00212         | 1.06230
43     | 55490  | 0.00258         | 1.28619
44     | 6309   | 0.00521         | 0.24135
45     | 16235  | 0.00433         | 0.58179
46     | 87872  | 0.00656         | 1.85442
47     | 5095   | 0.00297         | 0.09746
48     | 80     | 0.00266         | 0.00163
49     | 32373  | 0.00291         | 0.61657
50     | 14487  | 0.00297         | 0.27809
51     | 39163  | 0.00295         | 0.75655
52     | 22490  | 0.00294         | 0.43333
53     | 4574   | 0.00242         | 0.08765
54     | 34592  | 0.00279         | 0.66217
55     | 81979  | 0.00240         | 1.57291
56     | 23767  | 0.00288         | 0.47047
57     | 72533  | 0.00289         | 1.39636
58     | 1585   | 0.00270         | 0.03068
59     | 24941  | 0.00241         | 0.48022
60     | 81051  | 0.00222         | 1.55691
61     | 60572  | 0.00257         | 1.16431
62     | 7817   | 0.00225         | 0.15157
63     | 17765  | 0.00290         | 0.34369
64     | 124743 | 0.00272         | 2.42128
65     | 81069  | 0.00289         | 1.57333
66     | 15889  | 0.00274         | 0.30506
67     | 23607  | 0.00293         | 0.46151
68     | 131856 | 0.00222         | 2.58036
69     | 12341  | 0.00243         | 0.24279
70     | 55826  | 0.00276         | 1.09275
71     | 29867  | 0.00302         | 0.58638
72     | 59463  | 0.00280         | 1.16433
73     | 23933  | 0.00280         | 0.46824
74     | 124826 | 0.00278         | 2.45602
75     | 123364 | 0.00240         | 2.42804
76     | 48448  | 0.00290         | 0.94893
77     | 5290   | 0.00313         | 0.10418
78     | 149974 | 0.00304         | 2.95646
79     | 45681  | 0.00230         | 0.89858
80     | 138222 | 0.00311         | 2.73089
81     | 28011  | 0.00316         | 0.55234
82     | 66164  | 0.00309         | 1.30052
83     | 57609  | 0.00261         | 1.13535
84     | 28411  | 0.00327         | 0.55977
85     | 146016 | 0.00285         | 2.89337
86     | 81135  | 0.00283         | 1.77900
87     | 33024  | 0.00352         | 0.67993
88     | 10266  | 0.00329         | 0.21265
89     | 44418  | 0.00304         | 1.02917
90     | 157711 | 0.00395         | 3.33591
91     | 151197 | 0.00279         | 3.06991
92     | 24074  | 0.00328         | 0.50326
93     | 59026  | 0.00303         | 1.24359
94     | 121835 | 0.00309         | 2.79401
95     | 171344 | 0.00318         | 3.53504
96     | 87644  | 0.00342         | 1.84595
97     | 146216 | 0.00310         | 3.63673
98     | 91726  | 0.00415         | 2.89148
99     | 181283 | 0.00436         | 36.66756
100    | 112323 | 0.10843         | 31.26194
101    | 20712  | 0.07044         | 5.90955
102    | 114506 | 0.06053         | 8.93075
103    | 20583  | 0.00883         | 1.01511
104    | 52311  | 0.00754         | 2.50683
105    | 22918  | 0.00615         | 0.88692
