Sample | Leaves | # Caterpillars                        | 2Loops | leftover | Math   | leftover
0      | 100    | [2]                                   | 0.012  |       50 | 0.001  |      50
1      | 100    | [2, 3]                                | 0.015  |       33 | 0.003  |      33
2      | 100    | [2, 3, 4]                             | 0.016  |       33 | 0.010  |      33
3      | 100    | [2, 3, 4, 5]                          | 0.017  |       26 | 0.025  |      26
4      | 100    | [2, 3, 4, 5, 6]                       | 0.019  |       26 | 0.061  |      26
5      | 100    | [2, 3, 4, 5, 6, 7]                    | 0.020  |       22 | 0.156  |      22
6      | 100    | [2, 3, 4, 5, 6, 7, 8]                 | 0.021  |       22 | 0.364  |      22
7      | 100    | [2, 3, 4, 5, 6, 7, 8, 9]              | 0.022  |       22 | 0.791  |      22
8      | 100    | [2, 3, 4, 5, 6, 7, 8, 9, 10]          | 0.023  |       22 | 1.956  |      22
9      | 100    | [2, 3, 4, 5, 6, 7, 8, 9, 10, 11]      | 0.026  |       21 | 4.084  |      21
10     | 100    | [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]  | 0.024  |       21 | 8.504  |      21
