Sample | Leaves | JumpsTypes   | 2Loops | leftover | Math   | leftover
0      | 0      | [2, 3, 5]    | 0.001  |        0 | 0.015  |       0
1      | 100    | [2, 3, 5]    | 0.019  |       26 | 0.010  |      26
2      | 200    | [2, 3, 5]    | 0.032  |       54 | 0.009  |      54
3      | 300    | [2, 3, 5]    | 0.047  |       80 | 0.009  |      80
4      | 400    | [2, 3, 5]    | 0.064  |      106 | 0.009  |     106
5      | 500    | [2, 3, 5]    | 0.089  |      134 | 0.010  |     134
6      | 600    | [2, 3, 5]    | 0.103  |      160 | 0.010  |     160
7      | 700    | [2, 3, 5]    | 0.123  |      186 | 0.010  |     186
8      | 800    | [2, 3, 5]    | 0.139  |      214 | 0.009  |     214
9      | 900    | [2, 3, 5]    | 0.157  |      240 | 0.013  |     240
10     | 1000   | [2, 3, 5]    | 0.170  |      266 | 0.009  |     266
